텍스트,레이블
안녕하세요,인사
안녕,인사
모카 안녕!,인사
하이,인사
지금 바로 탈 수 있는 차 있어요?,예약_문의
MOCA 어떻게 예약해요?,예약_문의
홍대입구역 근처에 사용 가능한 모카 있어?,예약_문의
아반떼 내일 저녁 8시에 빌릴 수 있나요?,예약_문의
9월 10일부터 2일간 대여 가능한 SUV 목록 보여줘,예약_문의
가장 가까운 모카존 어디야?,예약_문의
예약 과정을 알려주세요,예약_문의
전기차 예약하고 싶어,예약_문의
한 시간만 잠깐 빌리는거 돼?,예약_문의
요금은 어떻게 되나요?,요금_문의
주행 요금은 1km당 얼마예요?,요금_문의
모카 할인 쿠폰 적용하고 싶어요,요금_문의
친구 초대하면 할인 받을 수 있나요?,요금_문의
보험료는 얼마인가요?,요금_문의
하이패스 비용은 나중에 따로 청구되나요?,요금_문의
결제는 언제 되는 건가요?,요금_문의
차량 이용 요금 상세 내역 좀 보여줘,요금_문의
차 문은 어떻게 열어요?,이용_방법
모카 스마트키 사용법 알려줘,이용_방법
주유는 어떻게 하나요?,이용_방법
주유 카드는 어디에 있어요?,이용_방법
기름은 채워서 반납해야 하나요?,이용_방법
차가 너무 더러워요,이용_방법
반납 장소 변경할 수 있나요?,이용_방법
반납 시간을 연장하고 싶어요,이용_방법
차에 문제가 생긴 것 같아요,문제_해결
사고가 났어요 어떻게 해야하죠?,문제_해결
차가 긁혔는데 어떡하나요?,문제_해결
타이어에 펑크가 난 것 같아요,문제_해결
차에 시동이 안 걸려요,문제_해결
차 안에 물건을 두고 내렸어요,문제_해결
앱이 자꾸 멈춰요,문제_해결
고객센터 전화번호 알려주세요,문제_해결
면허증 등록은 어떻게 해요?,계정_관리
면허증 재등록 해야돼,계정_관리
결제 카드를 바꾸고 싶어요,계정_관리
비밀번호를 잊어버렸어요,계정_관리
제 이용내역을 보고 싶어요,계정_관리
MOCA 회원 탈퇴는 어떻게 하나요?,계정_관리
운전면허 인증이 안돼요,계정_관리
어떤 종류의 차들이 있나요?,기타_문의
모카 이용 가능 지역이 어디인가요?,기타_문의
나이 제한이 있나요?,기타_문의
고마워,감사
감사합니다,감사
덕분에 해결했어요 고마워요,감사
땡큐,감사